combo,n_feat,feat_abbrev,wknn_mae,wknn_rmse,wknn_p90,nn_mae,nn_rmse,nn_p90,cnn_mae,cnn_rmse,cnn_p90,best_mae,best_method
Geometry,81,TDoA+AoA+Dly,8.564962958411574,16.16795746734875,17.02237593230045,8.150294396083671,12.017790895454617,15.836499494574667,7.601174408696753,10.911663732169885,15.391405041632138,7.601174408696753,CNN Regression
Light,90,TDoA+AoA+RSS+Rch,8.00480849233833,15.681718938672187,14.801854317849667,6.578462122107152,9.678076459418271,12.758128060647154,7.288482078702372,10.286760972142877,14.833609224313092,6.578462122107152,NN Regression
No_AoA,3654,OFDM+TDoA+RSS+PL+Dly+CovE+Rch,14.819681925778708,22.420677420308316,36.82241451473233,13.336195965317048,19.017900134997735,26.364017115173986,17.750887228598206,23.783435917914783,38.76924350134416,13.336195965317048,NN Regression
No_CovEig,3663,OFDM+TDoA+AoA+RSS+PL+Dly+Rch,13.720247375428645,20.760427134373735,33.00914287497248,9.82748925652762,13.27594609880183,17.91170790588319,10.142466785180625,13.807912409783917,19.270343101805835,9.82748925652762,NN Regression
No_Delay,3681,OFDM+TDoA+AoA+RSS+PL+CovE+Rch,13.359570113323032,20.48716532497237,31.954123693517417,9.730802977718827,13.289584133462858,18.382512878989967,10.824976493732851,14.639227039581202,21.54007419876399,9.730802977718827,NN Regression
No_OFDM,135,TDoA+AoA+RSS+PL+Dly+CovE+Rch,9.701018230589005,18.22668277649727,18.631360100014714,7.540016851299533,11.178815551302348,14.606072593620667,7.482060770627657,10.696898438400934,15.228917679976792,7.482060770627657,CNN Regression
No_OFDM_Light,108,TDoA+AoA+RSS+PL+Dly+Rch,8.271008050764538,16.73188500582607,14.839131864447715,7.1287738492157064,10.314940062144307,12.81146713741126,6.605209193913733,9.889246845431286,13.403327500147615,6.605209193913733,CNN Regression
No_PathLoss,3681,OFDM+TDoA+AoA+RSS+Dly+CovE+Rch,13.359424188605846,20.486668198902194,31.954123693517417,10.02410856997392,13.205271386245753,18.5061768084455,10.742743646691093,14.430835492100517,19.96374998836375,10.02410856997392,NN Regression
No_RSS,3681,OFDM+TDoA+AoA+PL+Dly+CovE+Rch,13.54050507217052,20.58718992622028,33.107688402870124,9.939158728556222,13.262013901615425,17.905757638031176,10.400895190537321,13.890270460682295,21.324773602749797,9.939158728556222,NN Regression
No_Reached,3681,OFDM+TDoA+AoA+RSS+PL+Dly+CovE,13.399735044167883,20.433697127354527,32.324657856796634,9.468894850959051,12.503719300157165,17.16954810617394,11.420063920149431,15.095399185464021,23.397883275003814,9.468894850959051,NN Regression
No_TDoA,3654,OFDM+AoA+RSS+PL+Dly+CovE+Rch,13.60781804833231,20.66030700435036,33.52996794680724,9.641286223768159,12.838792141946362,17.19588656086507,12.624560126122534,16.833149646760276,24.023678306135615,9.641286223768159,NN Regression
OFDM_Radio,3573,OFDM+RSS+PL,14.686860633292492,21.41488969054815,34.63256587894165,13.825823855977037,19.98721324650276,26.0631392058462,16.47342131086731,22.537344358526077,35.58329243980815,13.825823855977037,NN Regression
Radio,27,RSS+PL+Rch,10.605202623690364,21.73614392975212,28.752165874485577,12.857647239329868,20.343078931163273,26.357045338705326,10.659798964970554,19.367474414085134,24.295880837526532,10.605202623690364,WKNN (IDW)
Solo_AoA,36,AoA,7.759464742827934,13.55576254125384,15.445469936988701,7.791276494069657,11.253523727674999,15.241665477692933,7.483276614396157,11.485985204168717,16.3887433066935,7.483276614396157,CNN Regression
Solo_CovEig,27,CovE,35.00757615119114,45.89256559771771,78.20477710462914,33.77116576245412,42.9231922981207,72.28212907981381,32.45494135329096,41.19899485417001,69.99620181419819,32.45494135329096,CNN Regression
Solo_Delay,9,Dly,52.369193087944076,57.89958247563735,85.26604644497039,52.34133102431306,56.13469067963785,77.51495605788293,51.1880828174554,55.243117977675716,77.10431142390215,51.1880828174554,CNN Regression
Solo_OFDM,3555,OFDM,15.007308518330843,22.36909795084088,35.24229757456423,13.928070463065273,20.10232182371983,29.012096347187935,16.917972738885446,23.411215226831747,38.14721929946565,13.928070463065273,NN Regression
Solo_PathLoss,9,PL,55.897854274500354,62.409967058946705,94.71392245466001,51.46296632578731,55.46358957473383,76.26069222509463,50.87352016362781,55.24349093149452,77.46533394014818,50.87352016362781,CNN Regression
Solo_RSS,9,RSS,9.943895444406412,20.181476304410538,25.618853490166835,11.04629853994445,18.071465185315702,20.80099157105242,12.21067730548641,19.3142467941278,26.542126883435415,9.943895444406412,WKNN (IDW)
Solo_Reached,9,Rch,53.42722916090248,58.93435117837542,88.01093268762531,51.149708665533126,55.48014456512394,76.02331389832474,50.776091765549545,55.06937036754185,77.16273527170287,50.776091765549545,CNN Regression
Solo_TDoA,36,TDoA,52.80020853608294,58.63159017055218,87.63377346980316,52.51028794301654,56.35625986376152,77.46447383939349,55.16552380617898,58.94727754308767,81.05260313214484,52.51028794301654,NN Regression
Spectral,3555,OFDM,15.007308518330843,22.36909795084088,35.24229757456423,14.090786218215,19.869803226487598,25.987940302433763,18.371992161409384,24.989778264623236,41.76052122424208,14.090786218215,NN Regression
