delay_ns,amplitude,gain_dB
344.875,1.5752969e-06,-116.052765
345.81677,8.063745e-07,-121.86927
768.3273,3.2715882e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.482522e-07,-121.42951
136.40643,1.6923791e-07,-135.43005
777.83527,1.9987726e-06,-113.98474
1762.7731,1.1185269e-06,-119.027084
1763.0402,9.272083e-07,-120.65646
1834.5583,8.398776e-07,-121.515686
0.0,0.00010535992,-79.54649
2.4353569,1.2133416e-05,-98.32034
48.722015,3.8369788e-05,-88.32022
50.712532,7.81455e-06,-102.14192
920.4542,3.068106e-07,-130.26259
734.9628,4.9852556e-06,-106.04626
735.51855,3.3737506e-06,-109.437744
915.63544,3.8861813e-07,-128.20955
344.875,1.5752968e-06,-116.052765
345.81677,8.063744e-07,-121.86928
768.3273,3.2715882e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.482523e-07,-121.42951
136.40643,1.6923791e-07,-135.43005
777.83527,1.9987724e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.272084e-07,-120.65646
1834.5583,8.398775e-07,-121.51569
0.0,0.000105359926,-79.54649
2.4353569,1.2133416e-05,-98.32034
48.722015,3.8369788e-05,-88.32022
50.712532,7.81455e-06,-102.14192
920.4542,3.068106e-07,-130.26259
734.9628,4.985255e-06,-106.04626
735.51855,3.3737506e-06,-109.437744
915.63544,3.886181e-07,-128.20955
344.875,1.5752968e-06,-116.052765
345.81677,8.0637443e-07,-121.86927
768.3273,3.271588e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.482522e-07,-121.42951
136.40643,1.6923791e-07,-135.43005
777.83527,1.9987724e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.272083e-07,-120.65646
1834.5583,8.3987754e-07,-121.515686
0.0,0.00010535992,-79.54649
2.4353569,1.2133415e-05,-98.32034
48.722015,3.8369784e-05,-88.32022
50.712532,7.81455e-06,-102.14192
920.4542,3.0681062e-07,-130.26259
734.9628,4.9852556e-06,-106.04626
735.51855,3.3737508e-06,-109.437744
915.63544,3.886181e-07,-128.20955
344.875,1.5752969e-06,-116.052765
345.81677,8.0637443e-07,-121.86927
768.3273,3.2715882e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.482522e-07,-121.42951
136.40643,1.6923791e-07,-135.43005
777.83527,1.9987726e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.272083e-07,-120.65646
1834.5583,8.398776e-07,-121.515686
0.0,0.00010535993,-79.54649
2.4353569,1.2133416e-05,-98.32034
48.722015,3.8369784e-05,-88.32022
50.712532,7.81455e-06,-102.14192
920.4542,3.0681062e-07,-130.26259
734.9628,4.985255e-06,-106.04626
735.51855,3.3737506e-06,-109.437744
915.63544,3.8861813e-07,-128.20955
344.875,1.5752968e-06,-116.052765
345.81677,8.063744e-07,-121.86928
768.3273,3.2715884e-06,-109.70483
777.3031,2.9053028e-06,-110.73617
980.2616,8.482522e-07,-121.42951
136.40643,1.6923794e-07,-135.43005
777.83527,1.9987724e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.272083e-07,-120.65646
1834.5583,8.3987754e-07,-121.515686
0.0,0.000105359926,-79.54649
2.4353569,1.2133417e-05,-98.32034
48.722015,3.8369788e-05,-88.32022
50.712532,7.81455e-06,-102.14192
920.4542,3.0681062e-07,-130.26259
734.9628,4.985255e-06,-106.04626
735.51855,3.3737506e-06,-109.437744
915.63544,3.886181e-07,-128.20955
344.875,1.5752968e-06,-116.052765
345.81677,8.0637443e-07,-121.86927
768.3273,3.2715882e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.4825234e-07,-121.42951
136.40643,1.6923792e-07,-135.43005
777.83527,1.9987724e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.2720825e-07,-120.65646
1834.5583,8.398776e-07,-121.515686
0.0,0.000105359926,-79.54649
2.4353569,1.2133416e-05,-98.32034
48.722015,3.8369788e-05,-88.32022
50.712532,7.814551e-06,-102.14192
920.4542,3.0681062e-07,-130.26259
734.9628,4.985255e-06,-106.04626
735.51855,3.3737508e-06,-109.437744
915.63544,3.886181e-07,-128.20955
344.875,1.5752968e-06,-116.052765
345.81677,8.063744e-07,-121.86928
768.3273,3.2715877e-06,-109.70483
777.3031,2.9053024e-06,-110.736176
980.2616,8.4825234e-07,-121.42951
136.40643,1.6923791e-07,-135.43005
777.83527,1.9987722e-06,-113.98474
1762.7731,1.1185268e-06,-119.027084
1763.0402,9.272084e-07,-120.65646
1834.5583,8.398775e-07,-121.51569
0.0,0.000105359926,-79.54649
2.4353569,1.2133416e-05,-98.32034
48.722015,3.836978e-05,-88.32022
50.712532,7.814551e-06,-102.14192
920.4542,3.0681062e-07,-130.26259
734.9628,4.9852556e-06,-106.04626
735.51855,3.3737508e-06,-109.437744
915.63544,3.886181e-07,-128.20955
344.875,1.5752969e-06,-116.052765
345.81677,8.063745e-07,-121.86927
768.3273,3.2715882e-06,-109.70483
777.3031,2.9053026e-06,-110.73617
980.2616,8.482522e-07,-121.42951
136.40643,1.6923794e-07,-135.43005
777.83527,1.9987722e-06,-113.98474
